iter	Passed	Remaining
0	1	121
1	1	92
2	2	83
3	3	73
4	3	71
5	4	73
6	5	76
7	6	77
8	7	77
9	8	76
10	9	75
11	10	74
12	11	74
13	11	72
14	12	72
15	13	71
16	14	70
17	15	69
18	15	67
19	16	66
20	17	64
21	17	63
22	18	62
23	19	61
24	19	59
25	20	58
26	21	56
27	21	55
28	22	54
29	22	53
30	23	52
31	23	50
32	24	49
33	25	48
34	25	48
35	26	47
36	27	46
37	27	45
38	28	44
39	28	43
40	29	42
41	29	40
42	30	40
43	30	39
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	19
71	47	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	53	10
83	54	10
84	54	9
85	55	9
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	62	0
99	63	0
