iter	Passed	Remaining
0	351	351141
1	352	175817
2	352	117287
3	353	88015
4	354	70450
5	354	58742
6	355	50429
7	356	44158
8	356	39276
9	357	35367
10	357	32167
11	358	29502
12	358	27245
13	359	25311
14	359	23636
15	360	22201
16	361	20918
17	362	19776
18	363	18746
19	363	17819
20	364	16979
21	364	16218
22	365	15524
23	367	14961
24	368	14375
25	369	13836
26	370	13335
27	371	12890
28	372	12459
29	372	12057
30	373	11675
31	374	11315
32	374	10977
33	375	10659
34	375	10358
35	376	10074
36	376	9806
37	377	9552
38	377	9311
39	378	9082
40	378	8864
41	379	8666
42	380	8470
43	381	8284
44	381	8105
45	382	7937
46	383	7772
47	383	7612
48	384	7460
49	385	7315
50	385	7174
51	386	7039
52	386	6908
53	387	6783
54	387	6662
55	388	6546
56	389	6438
57	389	6329
58	390	6226
59	391	6125
60	391	6027
61	392	5933
62	392	5842
63	393	5752
64	393	5665
65	394	5581
66	394	5499
67	395	5421
68	396	5348
69	397	5278
70	397	5206
71	398	5137
72	399	5069
73	399	5002
74	400	4937
75	401	4884
76	402	4828
77	403	4774
78	405	4726
79	406	4674
80	407	4622
81	408	4571
82	408	4515
83	409	4467
84	410	4418
85	411	4370
86	412	4323
87	413	4281
88	414	4241
89	419	4243
90	420	4204
91	421	4164
92	422	4123
93	423	4082
94	428	4083
95	429	4048
96	430	4012
97	432	3980
98	434	3950
99	434	3913
100	435	3878
101	436	3842
102	437	3806
103	437	3770
104	438	3735
105	438	3702
106	439	3668
107	440	3635
108	441	3606
109	442	3581
110	443	3552
111	444	3523
112	445	3497
113	446	3467
114	446	3439
115	447	3410
116	447	3380
117	448	3352
118	449	3324
119	449	3296
120	450	3270
121	467	3363
122	468	3340
123	469	3318
124	470	3295
125	471	3272
126	472	3248
127	473	3225
128	474	3203
129	475	3181
130	476	3159
131	478	3143
132	479	3126
133	480	3105
134	481	3085
135	482	3064
136	483	3047
137	484	3028
138	485	3009
139	486	2990
140	488	2973
141	488	2952
142	489	2933
143	490	2915
144	491	2896
145	492	2878
146	492	2859
147	493	2842
148	494	2823
149	495	2805
150	495	2786
151	496	2768
152	496	2749
153	497	2732
154	498	2715
155	498	2699
156	499	2682
157	500	2665
158	500	2648
159	501	2631
160	501	2614
161	502	2597
162	502	2582
163	503	2566
164	504	2551
165	504	2535
166	505	2520
167	506	2506
168	508	2500
169	509	2486
170	509	2471
171	510	2456
172	510	2442
173	511	2428
174	512	2414
175	512	2400
176	513	2386
177	513	2373
178	514	2360
179	515	2347
180	516	2334
181	516	2321
182	517	2309
183	517	2296
184	518	2283
185	519	2271
186	519	2258
187	520	2246
188	520	2234
189	521	2222
190	522	2212
191	523	2202
192	524	2191
193	524	2180
194	525	2168
195	525	2157
196	526	2146
197	527	2135
198	527	2125
199	528	2114
200	529	2103
201	529	2092
202	531	2087
203	532	2076
204	532	2066
205	533	2056
206	534	2046
207	534	2035
208	535	2025
209	535	2015
210	536	2005
211	537	1997
212	538	1988
213	538	1979
214	541	1977
215	543	1971
216	544	1964
217	547	1964
218	548	1956
219	549	1947
220	549	1938
221	550	1928
222	550	1919
223	551	1910
224	552	1904
225	553	1895
226	554	1886
227	554	1877
228	555	1869
229	555	1860
230	556	1851
231	556	1843
232	557	1834
233	557	1825
234	558	1817
235	558	1809
236	559	1800
237	559	1792
238	560	1784
239	560	1776
240	561	1768
241	562	1760
242	562	1752
243	563	1744
244	564	1739
245	565	1731
246	565	1724
247	566	1716
248	567	1710
249	567	1703
250	568	1696
251	568	1688
252	569	1681
253	570	1674
254	570	1667
255	571	1660
256	572	1654
257	572	1647
258	573	1640
259	573	1633
260	574	1626
261	574	1619
262	575	1612
263	575	1605
264	576	1598
265	576	1592
266	577	1585
267	578	1579
268	578	1573
269	579	1566
270	579	1560
271	580	1553
272	580	1547
273	581	1541
274	582	1536
275	583	1531
276	584	1525
277	584	1519
278	585	1513
279	586	1507
280	586	1501
281	587	1495
282	587	1489
283	588	1483
284	588	1477
285	589	1471
286	589	1465
287	590	1459
288	591	1454
289	591	1448
290	592	1443
291	592	1437
292	593	1431
293	593	1426
294	594	1420
295	595	1415
296	595	1409
297	596	1404
298	597	1400
299	598	1395
300	598	1390
301	599	1385
302	599	1380
303	600	1374
304	601	1369
305	601	1364
306	602	1359
307	602	1353
308	603	1348
309	603	1343
310	604	1338
311	604	1333
312	605	1328
313	605	1323
314	606	1319
315	607	1314
316	607	1309
317	608	1305
318	609	1300
319	609	1295
320	610	1290
321	610	1286
322	611	1281
323	612	1277
324	612	1272
325	613	1268
326	614	1264
327	614	1259
328	615	1254
329	615	1250
330	616	1245
331	617	1241
332	617	1237
333	618	1232
334	618	1228
335	619	1223
336	619	1219
337	620	1215
338	620	1210
339	621	1206
340	621	1201
341	622	1197
342	623	1193
343	623	1189
344	624	1184
345	624	1180
346	625	1176
347	625	1172
348	626	1168
349	626	1164
350	627	1160
351	628	1157
352	629	1153
353	629	1148
354	630	1144
